cause,d,executed_code_modular_addition_factor,missing_factor_code_over_paper,n,paper_derivation_modular_addition_factor,paper_reported_implementation_class,q,source_verified_implementation_class
"each constant modular multiplier loops over n result bits, not q exponent-register bits",8,16384,4.0,64,4096,O(n^(5/2) log n),16,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",9,17550,4.333333333333333,65,4050,O(n^(5/2) log n),15,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",9,17820,4.4,66,4050,O(n^(5/2) log n),15,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",9,18090,4.466666666666667,67,4050,O(n^(5/2) log n),15,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",9,19584,4.25,68,4608,O(n^(5/2) log n),16,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",9,19872,4.3125,69,4608,O(n^(5/2) log n),16,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",9,20160,4.375,70,4608,O(n^(5/2) log n),16,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",9,20448,4.4375,71,4608,O(n^(5/2) log n),16,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",9,20736,4.5,72,4608,O(n^(5/2) log n),16,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",9,22338,4.294117647058823,73,5202,O(n^(5/2) log n),17,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",9,22644,4.352941176470588,74,5202,O(n^(5/2) log n),17,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",9,22950,4.411764705882353,75,5202,O(n^(5/2) log n),17,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",9,23256,4.470588235294118,76,5202,O(n^(5/2) log n),17,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",9,24948,4.277777777777778,77,5832,O(n^(5/2) log n),18,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",9,25272,4.333333333333333,78,5832,O(n^(5/2) log n),18,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",9,25596,4.388888888888889,79,5832,O(n^(5/2) log n),18,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",9,25920,4.444444444444445,80,5832,O(n^(5/2) log n),18,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",9,26244,4.5,81,5832,O(n^(5/2) log n),18,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,27880,4.823529411764706,82,5780,O(n^(5/2) log n),17,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,28220,4.882352941176471,83,5780,O(n^(5/2) log n),17,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,28560,4.9411764705882355,84,5780,O(n^(5/2) log n),17,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,28900,5.0,85,5780,O(n^(5/2) log n),17,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,30960,4.777777777777778,86,6480,O(n^(5/2) log n),18,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,31320,4.833333333333333,87,6480,O(n^(5/2) log n),18,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,31680,4.888888888888889,88,6480,O(n^(5/2) log n),18,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,32040,4.944444444444445,89,6480,O(n^(5/2) log n),18,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,32400,5.0,90,6480,O(n^(5/2) log n),18,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,34580,4.7894736842105265,91,7220,O(n^(5/2) log n),19,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,34960,4.842105263157895,92,7220,O(n^(5/2) log n),19,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,35340,4.894736842105263,93,7220,O(n^(5/2) log n),19,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,35720,4.947368421052632,94,7220,O(n^(5/2) log n),19,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,36100,5.0,95,7220,O(n^(5/2) log n),19,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,38400,4.8,96,8000,O(n^(5/2) log n),20,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,38800,4.85,97,8000,O(n^(5/2) log n),20,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,39200,4.9,98,8000,O(n^(5/2) log n),20,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,39600,4.95,99,8000,O(n^(5/2) log n),20,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",10,40000,5.0,100,8000,O(n^(5/2) log n),20,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,42218,5.315789473684211,101,7942,O(n^(5/2) log n),19,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,42636,5.368421052631579,102,7942,O(n^(5/2) log n),19,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,43054,5.421052631578948,103,7942,O(n^(5/2) log n),19,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,43472,5.473684210526316,104,7942,O(n^(5/2) log n),19,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,46200,5.25,105,8800,O(n^(5/2) log n),20,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,46640,5.3,106,8800,O(n^(5/2) log n),20,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,47080,5.35,107,8800,O(n^(5/2) log n),20,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,47520,5.4,108,8800,O(n^(5/2) log n),20,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,47960,5.45,109,8800,O(n^(5/2) log n),20,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,48400,5.5,110,8800,O(n^(5/2) log n),20,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,51282,5.285714285714286,111,9702,O(n^(5/2) log n),21,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,51744,5.333333333333333,112,9702,O(n^(5/2) log n),21,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,52206,5.380952380952381,113,9702,O(n^(5/2) log n),21,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,52668,5.428571428571429,114,9702,O(n^(5/2) log n),21,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,53130,5.476190476190476,115,9702,O(n^(5/2) log n),21,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,56144,5.2727272727272725,116,10648,O(n^(5/2) log n),22,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,56628,5.318181818181818,117,10648,O(n^(5/2) log n),22,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,57112,5.363636363636363,118,10648,O(n^(5/2) log n),22,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,57596,5.409090909090909,119,10648,O(n^(5/2) log n),22,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,58080,5.454545454545454,120,10648,O(n^(5/2) log n),22,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",11,58564,5.5,121,10648,O(n^(5/2) log n),22,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,61488,5.809523809523809,122,10584,O(n^(5/2) log n),21,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,61992,5.857142857142857,123,10584,O(n^(5/2) log n),21,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,62496,5.904761904761905,124,10584,O(n^(5/2) log n),21,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,63000,5.9523809523809526,125,10584,O(n^(5/2) log n),21,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,63504,6.0,126,10584,O(n^(5/2) log n),21,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,67056,5.7727272727272725,127,11616,O(n^(5/2) log n),22,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,67584,5.818181818181818,128,11616,O(n^(5/2) log n),22,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,68112,5.863636363636363,129,11616,O(n^(5/2) log n),22,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,68640,5.909090909090909,130,11616,O(n^(5/2) log n),22,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,69168,5.954545454545454,131,11616,O(n^(5/2) log n),22,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,69696,6.0,132,11616,O(n^(5/2) log n),22,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,73416,5.782608695652174,133,12696,O(n^(5/2) log n),23,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,73968,5.826086956521739,134,12696,O(n^(5/2) log n),23,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,74520,5.869565217391305,135,12696,O(n^(5/2) log n),23,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,75072,5.913043478260869,136,12696,O(n^(5/2) log n),23,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,75624,5.956521739130435,137,12696,O(n^(5/2) log n),23,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,76176,6.0,138,12696,O(n^(5/2) log n),23,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,80064,5.791666666666667,139,13824,O(n^(5/2) log n),24,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,80640,5.833333333333333,140,13824,O(n^(5/2) log n),24,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,81216,5.875,141,13824,O(n^(5/2) log n),24,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,81792,5.916666666666667,142,13824,O(n^(5/2) log n),24,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,82368,5.958333333333333,143,13824,O(n^(5/2) log n),24,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",12,82944,6.0,144,13824,O(n^(5/2) log n),24,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,86710,6.304347826086956,145,13754,O(n^(5/2) log n),23,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,87308,6.3478260869565215,146,13754,O(n^(5/2) log n),23,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,87906,6.391304347826087,147,13754,O(n^(5/2) log n),23,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,88504,6.434782608695652,148,13754,O(n^(5/2) log n),23,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,89102,6.478260869565218,149,13754,O(n^(5/2) log n),23,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,93600,6.25,150,14976,O(n^(5/2) log n),24,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,94224,6.291666666666667,151,14976,O(n^(5/2) log n),24,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,94848,6.333333333333333,152,14976,O(n^(5/2) log n),24,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,95472,6.375,153,14976,O(n^(5/2) log n),24,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,96096,6.416666666666667,154,14976,O(n^(5/2) log n),24,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,96720,6.458333333333333,155,14976,O(n^(5/2) log n),24,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,97344,6.5,156,14976,O(n^(5/2) log n),24,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,102050,6.28,157,16250,O(n^(5/2) log n),25,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,102700,6.32,158,16250,O(n^(5/2) log n),25,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,103350,6.36,159,16250,O(n^(5/2) log n),25,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,104000,6.4,160,16250,O(n^(5/2) log n),25,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,104650,6.44,161,16250,O(n^(5/2) log n),25,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,105300,6.48,162,16250,O(n^(5/2) log n),25,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,110188,6.269230769230769,163,17576,O(n^(5/2) log n),26,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,110864,6.3076923076923075,164,17576,O(n^(5/2) log n),26,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,111540,6.346153846153846,165,17576,O(n^(5/2) log n),26,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,112216,6.384615384615385,166,17576,O(n^(5/2) log n),26,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,112892,6.423076923076923,167,17576,O(n^(5/2) log n),26,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,113568,6.461538461538462,168,17576,O(n^(5/2) log n),26,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",13,114244,6.5,169,17576,O(n^(5/2) log n),26,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,119000,6.8,170,17500,O(n^(5/2) log n),25,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,119700,6.84,171,17500,O(n^(5/2) log n),25,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,120400,6.88,172,17500,O(n^(5/2) log n),25,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,121100,6.92,173,17500,O(n^(5/2) log n),25,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,121800,6.96,174,17500,O(n^(5/2) log n),25,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,122500,7.0,175,17500,O(n^(5/2) log n),25,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,128128,6.769230769230769,176,18928,O(n^(5/2) log n),26,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,128856,6.8076923076923075,177,18928,O(n^(5/2) log n),26,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,129584,6.846153846153846,178,18928,O(n^(5/2) log n),26,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,130312,6.884615384615385,179,18928,O(n^(5/2) log n),26,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,131040,6.923076923076923,180,18928,O(n^(5/2) log n),26,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,131768,6.961538461538462,181,18928,O(n^(5/2) log n),26,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,132496,7.0,182,18928,O(n^(5/2) log n),26,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,138348,6.777777777777778,183,20412,O(n^(5/2) log n),27,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,139104,6.814814814814815,184,20412,O(n^(5/2) log n),27,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,139860,6.851851851851852,185,20412,O(n^(5/2) log n),27,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,140616,6.888888888888889,186,20412,O(n^(5/2) log n),27,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,141372,6.925925925925926,187,20412,O(n^(5/2) log n),27,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,142128,6.962962962962963,188,20412,O(n^(5/2) log n),27,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,142884,7.0,189,20412,O(n^(5/2) log n),27,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,148960,6.785714285714286,190,21952,O(n^(5/2) log n),28,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,149744,6.821428571428571,191,21952,O(n^(5/2) log n),28,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,150528,6.857142857142857,192,21952,O(n^(5/2) log n),28,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,151312,6.892857142857143,193,21952,O(n^(5/2) log n),28,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,152096,6.928571428571429,194,21952,O(n^(5/2) log n),28,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,152880,6.964285714285714,195,21952,O(n^(5/2) log n),28,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",14,153664,7.0,196,21952,O(n^(5/2) log n),28,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,159570,7.296296296296297,197,21870,O(n^(5/2) log n),27,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,160380,7.333333333333333,198,21870,O(n^(5/2) log n),27,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",15,161190,7.37037037037037,199,21870,O(n^(5/2) log n),27,Theta(n^3 log n)
