actual_arithmetic_source_ccx_class,actual_arithmetic_source_ccx_leading_constant,controlled_additions_per_controlled_multiplier,d,mode,n,per_run_invocation_ratio_regev_over_shor,preserves_regev_target_gate_class,q,qft_ratio_regev_over_shor,regev_controlled_modular_additions_per_run,regev_controlled_multiplier_invocations_per_run,regev_qft_canonical_cx,regev_runs_reference,regev_target_gate_class,regev_total_qubits,run_adjusted_invocation_ratio_vs_one_shor_run,scope,shor_controlled_modular_additions_per_run,shor_controlled_multiplier_invocations_per_run,shor_qft_canonical_cx,shor_total_qubits,verdict
Theta(n^3 log2(n)),80.0,28,4,cover_2n,14,1.0,False,7,0.2556390977443609,784,28,204,8,soft-O(n^(3/2)),57,8.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,784,28,798,57,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,30,4,cover_2n,15,1.0666666666666667,False,8,0.2972677595628415,960,32,272,8,soft-O(n^(3/2)),63,8.533333333333333,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,900,30,915,61,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,32,4,cover_2n,16,1.0,False,8,0.26153846153846155,1024,32,272,8,soft-O(n^(3/2)),65,8.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,1024,32,1040,65,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,34,5,cover_2n,17,1.0294117647058822,False,7,0.21739130434782608,1190,35,255,9,soft-O(n^(3/2)),70,9.264705882352942,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,1156,34,1173,69,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,36,5,cover_2n,18,1.1111111111111112,False,8,0.258751902587519,1440,40,340,9,soft-O(n^(3/2)),77,10.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,1296,36,1314,73,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,38,5,cover_2n,19,1.0526315789473684,False,8,0.23239917976760083,1520,40,340,9,soft-O(n^(3/2)),79,9.473684210526315,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,1444,38,1463,77,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,40,5,cover_2n,20,1.0,False,8,0.20987654320987653,1600,40,340,9,soft-O(n^(3/2)),81,9.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,1600,40,1620,81,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,42,5,cover_2n,21,1.0714285714285714,False,9,0.23529411764705882,1890,45,420,9,soft-O(n^(3/2)),88,9.642857142857142,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,1764,42,1785,85,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,44,5,cover_2n,22,1.0227272727272727,False,9,0.21450459652706844,1980,45,420,9,soft-O(n^(3/2)),90,9.204545454545455,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,1936,44,1958,89,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,46,5,cover_2n,23,1.0869565217391304,False,10,0.24544179523141654,2300,50,525,9,soft-O(n^(3/2)),97,9.782608695652174,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,2116,46,2139,93,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,48,5,cover_2n,24,1.0416666666666667,False,10,0.22551546391752578,2400,50,525,9,soft-O(n^(3/2)),99,9.375,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,2304,48,2328,97,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,50,5,cover_2n,25,1.0,False,10,0.2079207920792079,2500,50,525,9,soft-O(n^(3/2)),101,9.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,2500,50,2525,101,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,52,6,cover_2n,26,1.0384615384615385,False,9,0.18461538461538463,2808,54,504,10,soft-O(n^(3/2)),107,10.384615384615385,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,2704,52,2730,105,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,54,6,cover_2n,27,1.0,False,9,0.1712538226299694,2916,54,504,10,soft-O(n^(3/2)),109,10.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,2916,54,2943,109,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,56,6,cover_2n,28,1.0714285714285714,False,10,0.19911504424778761,3360,60,630,10,soft-O(n^(3/2)),117,10.714285714285714,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,3136,56,3164,113,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,58,6,cover_2n,29,1.0344827586206897,False,10,0.1856763925729443,3480,60,630,10,soft-O(n^(3/2)),119,10.344827586206897,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,3364,58,3393,117,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,60,6,cover_2n,30,1.0,False,10,0.17355371900826447,3600,60,630,10,soft-O(n^(3/2)),121,10.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,3600,60,3630,121,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,62,6,cover_2n,31,1.064516129032258,False,11,0.1935483870967742,4092,66,750,10,soft-O(n^(3/2)),129,10.64516129032258,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,3844,62,3875,125,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,64,6,cover_2n,32,1.03125,False,11,0.1816860465116279,4224,66,750,10,soft-O(n^(3/2)),131,10.3125,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,4096,64,4128,129,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,66,6,cover_2n,33,1.0,False,11,0.17088174982911825,4356,66,750,10,soft-O(n^(3/2)),133,10.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,4356,66,4389,133,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,68,6,cover_2n,34,1.0588235294117647,False,12,0.19321597252039502,4896,72,900,10,soft-O(n^(3/2)),141,10.588235294117647,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,4624,68,4658,137,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,70,6,cover_2n,35,1.0285714285714285,False,12,0.182370820668693,5040,72,900,10,soft-O(n^(3/2)),143,10.285714285714286,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,4900,70,4935,141,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,72,6,cover_2n,36,1.0,False,12,0.1724137931034483,5184,72,900,10,soft-O(n^(3/2)),145,10.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,5184,72,5220,145,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,74,7,cover_2n,37,1.0405405405405406,False,11,0.15871576274260837,5698,77,875,11,soft-O(n^(3/2)),152,11.445945945945946,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,5476,74,5513,149,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,76,7,cover_2n,38,1.013157894736842,False,11,0.15049879600963192,5852,77,875,11,soft-O(n^(3/2)),154,11.144736842105264,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,5776,76,5814,153,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,78,7,cover_2n,39,1.0769230769230769,False,12,0.17148456638902498,6552,84,1050,11,soft-O(n^(3/2)),163,11.846153846153847,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,6084,78,6123,157,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,80,7,cover_2n,40,1.05,False,12,0.16304347826086957,6720,84,1050,11,soft-O(n^(3/2)),165,11.55,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,6400,80,6440,161,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,82,7,cover_2n,41,1.024390243902439,False,12,0.15521064301552107,6888,84,1050,11,soft-O(n^(3/2)),167,11.268292682926829,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,6724,82,6765,165,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,84,7,cover_2n,42,1.0,False,12,0.14792899408284024,7056,84,1050,11,soft-O(n^(3/2)),169,11.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,7056,84,7098,169,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,86,7,cover_2n,43,1.058139534883721,False,13,0.16373168436617824,7826,91,1218,11,soft-O(n^(3/2)),178,11.63953488372093,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,7396,86,7439,173,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,88,7,cover_2n,44,1.0340909090909092,False,13,0.15639445300462249,8008,91,1218,11,soft-O(n^(3/2)),180,11.375,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,7744,88,7788,177,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,90,7,cover_2n,45,1.011111111111111,False,13,0.14953959484346224,8190,91,1218,11,soft-O(n^(3/2)),182,11.122222222222222,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,8100,90,8145,181,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,92,7,cover_2n,46,1.065217391304348,False,14,0.16698002350176264,9016,98,1421,11,soft-O(n^(3/2)),191,11.717391304347826,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,8464,92,8510,185,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,94,7,cover_2n,47,1.0425531914893618,False,14,0.1599684791174153,9212,98,1421,11,soft-O(n^(3/2)),193,11.46808510638298,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,8836,94,8883,189,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,96,7,cover_2n,48,1.0208333333333333,False,14,0.1533894645941278,9408,98,1421,11,soft-O(n^(3/2)),195,11.229166666666666,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,9216,96,9264,193,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,98,7,cover_2n,49,1.0,False,14,0.14720812182741116,9604,98,1421,11,soft-O(n^(3/2)),197,11.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,9604,98,9653,197,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,100,8,cover_2n,50,1.04,False,13,0.13850746268656716,10400,104,1392,12,soft-O(n^(3/2)),205,12.48,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,10000,100,10050,201,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,102,8,cover_2n,51,1.0196078431372548,False,13,0.13314203730272597,10608,104,1392,12,soft-O(n^(3/2)),207,12.235294117647058,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,10404,102,10455,205,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,104,8,cover_2n,52,1.0,False,13,0.12808244387191756,10816,104,1392,12,soft-O(n^(3/2)),209,12.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,10816,104,10868,209,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,106,8,cover_2n,53,1.0566037735849056,False,14,0.14385685180263974,11872,112,1624,12,soft-O(n^(3/2)),219,12.679245283018869,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,11236,106,11289,213,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,108,8,cover_2n,54,1.037037037037037,False,14,0.13859020310633213,12096,112,1624,12,soft-O(n^(3/2)),221,12.444444444444445,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,11664,108,11718,217,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,110,8,cover_2n,55,1.018181818181818,False,14,0.13360756890168654,12320,112,1624,12,soft-O(n^(3/2)),223,12.218181818181819,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,12100,110,12155,221,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,112,8,cover_2n,56,1.0,False,14,0.1288888888888889,12544,112,1624,12,soft-O(n^(3/2)),225,12.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,12544,112,12600,225,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,114,8,cover_2n,57,1.0526315789473684,False,15,0.14157664904619627,13680,120,1848,12,soft-O(n^(3/2)),235,12.631578947368421,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,12996,114,13053,229,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,116,8,cover_2n,58,1.0344827586206897,False,15,0.1367470771052242,13920,120,1848,12,soft-O(n^(3/2)),237,12.413793103448276,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,13456,116,13514,233,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,118,8,cover_2n,59,1.0169491525423728,False,15,0.13216048058356575,14160,120,1848,12,soft-O(n^(3/2)),239,12.203389830508474,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,13924,118,13983,237,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,120,8,cover_2n,60,1.0,False,15,0.12780082987551866,14400,120,1848,12,soft-O(n^(3/2)),241,12.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,14400,120,14460,241,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,122,8,cover_2n,61,1.0491803278688525,False,16,0.14131816661090665,15616,128,2112,12,soft-O(n^(3/2)),251,12.59016393442623,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,14884,122,14945,245,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,124,8,cover_2n,62,1.032258064516129,False,16,0.1368052856587641,15872,128,2112,12,soft-O(n^(3/2)),253,12.387096774193548,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,15376,124,15438,249,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,126,8,cover_2n,63,1.0158730158730158,False,16,0.13250517598343686,16128,128,2112,12,soft-O(n^(3/2)),255,12.19047619047619,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,15876,126,15939,253,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,128,8,cover_2n,64,1.0,False,16,0.12840466926070038,16384,128,2112,12,soft-O(n^(3/2)),257,12.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,16384,128,16448,257,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,130,9,cover_2n,65,1.0384615384615385,False,15,0.12254641909814323,17550,135,2079,13,soft-O(n^(3/2)),266,13.5,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,16900,130,16965,261,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,132,9,cover_2n,66,1.0227272727272727,False,15,0.11886792452830189,17820,135,2079,13,soft-O(n^(3/2)),268,13.295454545454545,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,17424,132,17490,265,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,134,9,cover_2n,67,1.007462686567164,False,15,0.1153526050047162,18090,135,2079,13,soft-O(n^(3/2)),270,13.097014925373134,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,17956,134,18023,269,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,136,9,cover_2n,68,1.0588235294117647,False,16,0.1279896574014221,19584,144,2376,13,soft-O(n^(3/2)),281,13.764705882352942,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,18496,136,18564,273,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,138,9,cover_2n,69,1.0434782608695652,False,16,0.1243132946162298,19872,144,2376,13,soft-O(n^(3/2)),283,13.565217391304348,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,19044,138,19113,277,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,140,9,cover_2n,70,1.0285714285714285,False,16,0.12079308591764108,20160,144,2376,13,soft-O(n^(3/2)),285,13.371428571428572,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,19600,140,19670,281,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,142,9,cover_2n,71,1.0140845070422535,False,16,0.11742031134173461,20448,144,2376,13,soft-O(n^(3/2)),287,13.183098591549296,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,20164,142,20235,285,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,144,9,cover_2n,72,1.0,False,16,0.11418685121107267,20736,144,2376,13,soft-O(n^(3/2)),289,13.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,20736,144,20808,289,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,146,9,cover_2n,73,1.047945205479452,False,17,0.12455000233765019,22338,153,2664,13,soft-O(n^(3/2)),300,13.623287671232877,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,21316,146,21389,293,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,148,9,cover_2n,74,1.0337837837837838,False,17,0.12121212121212122,22644,153,2664,13,soft-O(n^(3/2)),302,13.43918918918919,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,21904,148,21978,297,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,150,9,cover_2n,75,1.02,False,17,0.11800664451827242,22950,153,2664,13,soft-O(n^(3/2)),304,13.26,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,22500,150,22575,301,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,152,9,cover_2n,76,1.006578947368421,False,17,0.11492666091458154,23256,153,2664,13,soft-O(n^(3/2)),306,13.085526315789474,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,23104,152,23180,305,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,154,9,cover_2n,77,1.051948051948052,False,18,0.12596141722355314,24948,162,2997,13,soft-O(n^(3/2)),317,13.675324675324676,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,23716,154,23793,309,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,156,9,cover_2n,78,1.0384615384615385,False,18,0.1227574342590317,25272,162,2997,13,soft-O(n^(3/2)),319,13.5,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,24336,156,24414,313,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,158,9,cover_2n,79,1.0253164556962024,False,18,0.11967416044403625,25596,162,2997,13,soft-O(n^(3/2)),321,13.329113924050633,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,24964,158,25043,317,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,160,9,cover_2n,80,1.0125,False,18,0.11670560747663551,25920,162,2997,13,soft-O(n^(3/2)),323,13.1625,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,25600,160,25680,321,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,162,9,cover_2n,81,1.0,False,18,0.11384615384615385,26244,162,2997,13,soft-O(n^(3/2)),325,13.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,26244,162,26325,325,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,164,10,cover_2n,82,1.0365853658536586,False,17,0.1097190303210023,27880,170,2960,14,soft-O(n^(3/2)),335,14.512195121951219,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,26896,164,26978,329,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,166,10,cover_2n,83,1.0240963855421688,False,17,0.107095046854083,28220,170,2960,14,soft-O(n^(3/2)),337,14.337349397590362,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,27556,166,27639,333,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,168,10,cover_2n,84,1.0119047619047619,False,17,0.10456408082520842,28560,170,2960,14,soft-O(n^(3/2)),339,14.166666666666666,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,28224,168,28308,337,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,170,10,cover_2n,85,1.0,False,17,0.1021217871312748,28900,170,2960,14,soft-O(n^(3/2)),341,14.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,28900,170,28985,341,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,172,10,cover_2n,86,1.0465116279069768,False,18,0.1122345803842265,30960,180,3330,14,soft-O(n^(3/2)),353,14.651162790697674,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,29584,172,29670,345,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,174,10,cover_2n,87,1.0344827586206897,False,18,0.10967295721766623,31320,180,3330,14,soft-O(n^(3/2)),355,14.482758620689655,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,30276,174,30363,349,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,176,10,cover_2n,88,1.0227272727272727,False,18,0.10719804275045068,31680,180,3330,14,soft-O(n^(3/2)),357,14.318181818181818,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,30976,176,31064,353,FAILS_REGEV_COMPLEXITY_FIDELITY
